bank_transaction_id,end_to_end_id,account_number,counterparty_account,debit_credit,amount,transaction_time,narrative
BK80046,E2E00005055,20051234,32151928,CRDT,2695.32,2026-04-13 14:46:00,Mortgage payment ref L1018
BK80050,E2E00005060,20051234,53936531,CRDT,2111.62,2026-03-17 12:24:00,Mortgage payment ref L1019
BK80061,E2E00005072,20051234,60372847,CRDT,1685.33,2026-04-22 17:43:00,Mortgage payment ref L1022
BK80066,E2E00005078,20051234,59737181,CRDT,763.22,2026-04-01 14:42:00,Mortgage payment ref L1024
BK80005,E2E00005005,20051234,52101056,CRDT,1095.14,2026-05-22 13:46:00,Mortgage payment ref L1003
BK80059,E2E00005070,20051234,31980274,CRDT,1339.33,2026-03-27 09:49:00,Mortgage payment ref L1021
BK80035,E2E00005040,20051234,46468984,CRDT,1106.86,2026-03-10 12:15:00,Mortgage payment ref L1012
BK80025,E2E00005028,20051234,98054615,CRDT,2299.44,2026-03-09 11:09:00,Mortgage payment ref L1010
BK80033,E2E00005038,20051234,79967676,CRDT,1281.27,2026-05-22 12:49:00,Mortgage payment ref L1012
BK80040,E2E00005047,20051234,88393811,CRDT,2135.13,2026-05-18 14:24:00,Mortgage payment ref L1016
BK80003,E2E00005003,20051234,87925434,CRDT,1282.75,2026-04-24 12:11:00,Mortgage payment ref L1003
BK80037,E2E00005043,20051234,30509175,CRDT,1732.46,2026-04-03 14:44:00,Mortgage payment ref L1013
BK80062,E2E00005073,20051234,89470029,CRDT,1656.48,2026-03-20 11:04:00,Mortgage payment ref L1022
BK80056,E2E00005067,20051234,73560289,CRDT,1187.96,2026-03-19 11:08:00,Mortgage payment ref L1021
BK80038,E2E00005045,20051234,64707061,CRDT,1698.95,2026-04-01 09:26:00,Mortgage payment ref L1014
BK80007,E2E00005007,20051234,15957459,CRDT,1444.97,2026-03-25 11:16:00,Mortgage payment ref L1004
BK80068,E2E00005080,20051234,58612055,CRDT,1824.47,2026-03-29 09:27:00,Mortgage payment ref L1025
BK80008,E2E00005008,20051234,82269803,CRDT,1376.33,2026-03-18 08:33:00,Mortgage payment ref L1004
BK80021,E2E00005023,20051234,51663795,CRDT,1368.09,2026-04-10 11:43:00,Mortgage payment ref L1009
