transaction_id,account_id,transaction_type,amount_left,transaction_date,value_date,end_to_end_id,narrative_left,bank_transaction_id,account_number,counterparty_account,debit_credit,amount_right,transaction_time,narrative_right,_merge,amount_difference,match_status
LTX5001,L1001,REPAYMENT,1230.45,30/04/2026,30/04/2026,E2E00005001,Monthly repayment L1001,BK80001,20051234.0,96098221.0,CRDT,1230.45,2026-04-30 12:22:00,Mortgage payment ref L1001,both,0.0,MATCHED
LTX5002,L1001,REPAYMENT,802.55,25/03/2026,25/03/2026,E2E00005002,Monthly repayment L1001,BK80002,20051234.0,13704481.0,CRDT,802.55,2026-03-25 16:21:00,Mortgage payment ref L1001,both,0.0,MATCHED
LTX5002,L1001,REPAYMENT,802.55,25/03/2026,25/03/2026,E2E00005002,Monthly repayment L1001,BK80074,20051234.0,13704481.0,CRDT,802.55,2026-03-25 16:23:00,Mortgage payment ref L1001,both,0.0,MATCHED
LTX5003,L1003,REPAYMENT,1282.75,24/04/2026,24/04/2026,E2E00005003,Monthly repayment L1003,BK80003,20051234.0,87925434.0,CRDT,1282.75,2026-04-24 12:11:00,Mortgage payment ref L1003,both,0.0,MATCHED
LTX5004,L1003,REPAYMENT,1440.11,07/03/2026,07/03/2026,E2E00005004,Monthly repayment L1003,BK80004,20051234.0,24549543.0,CRDT,1440.11,2026-03-07 12:02:00,Mortgage payment ref L1003,both,0.0,MATCHED
LTX5005,L1003,REPAYMENT,1095.14,22/05/2026,22/05/2026,E2E00005005,Monthly repayment L1003,BK80005,20051234.0,52101056.0,CRDT,1095.14,2026-05-22 13:46:00,Mortgage payment ref L1003,both,0.0,MATCHED
LTX5006,L1004,REPAYMENT,1272.4,14/03/2026,14/03/2026,E2E00005006,Monthly repayment L1004,BK80006,20051234.0,61700055.0,CRDT,1272.4,2026-03-14 16:07:00,Mortgage payment ref L1004,both,0.0,MATCHED
LTX5007,L1004,REPAYMENT,1444.97,25/03/2026,25/03/2026,E2E00005007,Monthly repayment L1004,BK80007,20051234.0,15957459.0,CRDT,1444.97,2026-03-25 11:16:00,Mortgage payment ref L1004,both,0.0,MATCHED
LTX5008,L1004,REPAYMENT,1376.33,18/03/2026,18/03/2026,E2E00005008,Monthly repayment L1004,BK80008,20051234.0,82269803.0,CRDT,1376.33,2026-03-18 08:33:00,Mortgage payment ref L1004,both,0.0,MATCHED
LTX5010,L1005,REPAYMENT,1967.6,10/03/2026,10/03/2026,E2E00005010,Monthly repayment L1005,BK80009,20051234.0,67887757.0,CRDT,1967.6,2026-03-10 11:23:00,Mortgage payment ref L1005,both,0.0,MATCHED
LTX5011,L1005,REPAYMENT,1760.47,10/05/2026,10/05/2026,E2E00005011,Monthly repayment L1005,BK80010,20051234.0,52133044.0,CRDT,1760.47,2026-05-10 13:39:00,Mortgage payment ref L1005,both,0.0,MATCHED
LTX5012,L1006,REPAYMENT,2841.53,02/03/2026,02/03/2026,E2E00005012,Monthly repayment L1006,BK80011,20051234.0,50308572.0,CRDT,2841.53,2026-03-02 09:46:00,Mortgage payment ref L1006,both,0.0,MATCHED
LTX5013,L1006,REPAYMENT,2359.92,31/03/2026,31/03/2026,E2E00005013,Monthly repayment L1006,BK80012,20051234.0,64009265.0,CRDT,2359.92,2026-03-31 14:20:00,Mortgage payment ref L1006,both,0.0,MATCHED
LTX5014,L1006,REPAYMENT,2548.95,02/05/2026,02/05/2026,E2E00005014,Monthly repayment L1006,BK80013,20051234.0,35748341.0,CRDT,2548.95,2026-05-02 16:08:00,Mortgage payment ref L1006,both,0.0,MATCHED
LTX5015,L1006,REPAYMENT,2801.6,21/04/2026,21/04/2026,E2E00005015,Monthly repayment L1006,BK80014,20051234.0,33357554.0,CRDT,2801.6,2026-04-21 14:43:00,Mortgage payment ref L1006,both,0.0,MATCHED
LTX5017,L1007,REPAYMENT,875.37,19/04/2026,19/04/2026,E2E00005017,Monthly repayment L1007,BK80015,20051234.0,83542887.0,CRDT,875.37,2026-04-19 12:25:00,Mortgage payment ref L1007,both,0.0,MATCHED
LTX5018,L1007,REPAYMENT,887.4,28/04/2026,28/04/2026,E2E00005018,Monthly repayment L1007,BK80016,20051234.0,38210242.0,CRDT,887.4,2026-04-28 12:18:00,Mortgage payment ref L1007,both,0.0,MATCHED
LTX5019,L1008,REPAYMENT,1842.18,11/05/2026,11/05/2026,E2E00005019,Monthly repayment L1008,BK80017,20051234.0,97873101.0,CRDT,1842.18,2026-05-11 17:38:00,Mortgage payment ref L1008,both,0.0,MATCHED
LTX5020,L1008,REPAYMENT,1537.93,02/05/2026,02/05/2026,E2E00005020,Monthly repayment L1008,BK80018,20051234.0,38682516.0,CRDT,1537.93,2026-05-02 15:28:00,Mortgage payment ref L1008,both,0.0,MATCHED
LTX5021,L1008,REPAYMENT,1575.67,07/04/2026,07/04/2026,E2E00005021,Monthly repayment L1008,BK80019,20051234.0,21381064.0,CRDT,1575.67,2026-04-07 10:42:00,Mortgage payment ref L1008,both,0.0,MATCHED
LTX5022,L1008,REPAYMENT,1792.56,08/03/2026,08/03/2026,E2E00005022,Monthly repayment L1008,BK80020,20051234.0,22534217.0,CRDT,1792.56,2026-03-08 17:21:00,Mortgage payment ref L1008,both,0.0,MATCHED
LTX5023,L1009,REPAYMENT,1368.09,10/04/2026,10/04/2026,E2E00005023,Monthly repayment L1009,BK80021,20051234.0,51663795.0,CRDT,1368.09,2026-04-10 11:43:00,Mortgage payment ref L1009,both,0.0,MATCHED
LTX5024,L1009,REPAYMENT,1619.86,14/05/2026,14/05/2026,E2E00005024,Monthly repayment L1009,BK80022,20051234.0,13278320.0,CRDT,1619.86,2026-05-14 11:09:00,Mortgage payment ref L1009,both,0.0,MATCHED
LTX5025,L1009,REPAYMENT,1428.25,07/05/2026,07/05/2026,E2E00005025,Monthly repayment L1009,BK80023,20051234.0,19774839.0,CRDT,1427.5,2026-05-07 17:54:00,Mortgage payment ref L1009,both,0.75,MATCHED
LTX5026,L1009,REPAYMENT,1381.86,05/05/2026,05/05/2026,E2E00005026,Monthly repayment L1009,BK80024,20051234.0,61536717.0,CRDT,1381.86,2026-05-05 17:12:00,Mortgage payment ref L1009,both,0.0,MATCHED
LTX5028,L1010,REPAYMENT,2299.44,09/03/2026,09/03/2026,E2E00005028,Monthly repayment L1010,BK80025,20051234.0,98054615.0,CRDT,2299.44,2026-03-09 11:09:00,Mortgage payment ref L1010,both,0.0,MATCHED
